English,French,Spanish,ISO 3166 alpha 3 code
Argentina,Argentine,Argentina,ARG
Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,ATG
Australia,Australie,Australia,AUS
Burundi,Burundi,Burundi,BDI
Belgium,Belgique,Belgica,BEL
Benin,Benin,Benin,BEN
Burkina Faso,Burkina Faso,Burkina Faso,BFA
Bahamas,Bahamas,Bahamas,BHS
Belize,Belise,Belize,BLZ
Bermuda,Bermudes,Bermudas,BMU
Bolivia,Bolivia,Bolivia,BOL
Barbados,Barbade,Barbados,BRB
Botswana,Botswana,Botsuana,BWA
Central African Republic,Republique Centrafricaine,Republica Centroafricana,CAF
Canada,Canada,Canada,CAN
Switzerland,Suisse,Suiza,CHE
Chile,Chile,Chile,CHL
Cote d'Ivoire,Cote d'Ivoire,Costa del Marfil,CIV
Cameroon,Cameroun,Camerun,CMR
Congo,Congo,Congo,COG
Colombia,Colombie,Colombia,COL
Comoros,Comores,Comoras,COM
Costa Rica,Costa Rica,Costa Rica,CRI
Cuba,Cuba,Cuba,CUB
Djibouti,Djibouti,Djibouti,DJI
Dominica,Dominique,Dominica,DMA
Dominican Republic,Republique Dominicaine,Republica Dominicana,DOM
Algeria,Algerie,Argelia,DZA
Ecuador,Equateur,Ecuador,ECU
Spain,Espagne,Espana,ESP
Fiji,Fidji,Fiji,FJI
Micronesia,Micronesie,Micronesia,FSM
Gabon,Gabon,Gabon,GAB
United Kingdom,Royaume-Uni,Reino Unido,GBR
Ghana,Ghana,Ghana,GHA
Guinea,Guinee Equatoriale,Guinea,GIN
Gambia,Gambie,Gambia,GMB
Equatorial Guinea,Guinee Equatoriale,Guinea Ecuatorial,GNQ
Grenada,Grenade,Granada,GRD
Guatemala,Guatemala,Guatemala,GTM
Guyana,Guyana,Guyana,GUY
Hong Kong,Hong Kong,Hong Kong,HKG
Honduras,Honduras,Honduras,HND
Haiti,Haiti,Haiti,HTI
India,Inde,India,IND
Ireland,Irlande,Irlanda,IRL
Israel,Israel,Israel,ISR
Jamaica,Jamaique,Jamaica,JAM
Kenya,Kenya,Kenya,KEN
Kiribati,Kiribati,Kiribati,KIR
Saint Kitts and Nevis,Saint-Christophe-et-Nieves,San Cristobal y Nieves,KNA
Lebanon,Liban,Libano,LBN
Liberia,Liberia,Liberia,LBR
Saint Lucia,Sainte-Lucie,Santa Lucia,LCA
Lesotho,Lesotho,Lesoto,LSO
Luxembourg,Luxembourg,Luxemburgo,LUX
Morocco,Maroc,Marruecos,MAR
Madagascar,Madagascar,Madagascar,MDG
Mexico,Mexique,Mexico,MEX
Marshall Islands,Iles Marshall,Islas Marshall,MHL
Mali,Mali,Mali,MLI
Malta,Malte,Malta,MLT
Mauritius,Maurice,Mauricio,MUS
Malawi,Malawi,Malaui,MWI
Namibia,Namibie,Namibia,NAM
Niger,Niger,Niger,NER
Nigeria,Nigeria,Nigeria,NGA
Nicaragua,Nicaragua,Nicaragua,NIC
New Zealand,Nouvelle-Zelande,Nueva Zelandia,NZL
Pakistan,Pakistan,Pakistan,PAK
Panama,Panama,Panama,PAN
Peru,Perou,Peru,PER
Philippines,Philippines,Filipinas,PHL
Palau,Palaos,Palaos,PLW
Papua New Guinea,Papouasie-Nouvelle-Guinee,Papua Nueva Guinea,PNG
Paraguay,Paraguay,Paraguay,PRY
Rwanda,Rwanda,Rwanda,RWA
Sudan,Soudan,Sudan,SDN
Senegal,Senegal,Senegal,SEN
Singapore,Singapour,Singapur,SGP
Solomon Islands,Salomon,Islas Salomon,SLB
Sierra Leone,Sierra Leone,Sierra Leona,SLE
El Salvador,El Salvador,El Salvador,SLV
Swaziland,Eswatini,Suazilandia,SWZ
Seychelles,Seychelles,Seychelles,SYC
Togo,Togo,Togo,TGO
Tonga,Tonga,Tonga,TON
Trinidad and Tobago,Trinite-et-Tobago,Trinidad y Tobago,TTO
Tunisia,Tunisie,Tunez,TUN
Tuvalu,Tuvalu,Tuvalu,TUV
Tanzania,Tanzanie,Tanzania,TZA
Uganda,Ouganda,Uganda,UGA
Uruguay,Uruguay,Uruguay,URY
"United States, US","Etats-Unis, États-Unis",Estados Unidos,USA
Saint Vincent and the Grenadines,Saint-Vincent-et-les-Grenadines,San Vicente y las Granadinas,VCT
Venezuela,Venezuela,Venezuela,VEN
Vanuatu,Vanuatu,Vanuatu,VUT
Samoa,Samoa,Samoa,WSM
South Africa,Afrique du Sud,Sudafrica,ZAF
Zambia,Zambie,Zambia,ZMB
Zimbabwe,Zimbabwe,Zimbabwe,ZWE
